journal_name,journal_name_norm,issn,eissn,jcr_year,jif,categories,source_files,% of Articles in Citable items,% of Citable OA,2024 JCI,2024 JIF,5 Year JIF,5 Year JIF Quartile,AIS Quartile,AIS Rank,Article Influence Score,Citable Items,Cited Half-Life,Citing Half-Life,Edition,Eigenfactor,Immediacy Index,JCI Percentile,JCI Quartile,JCI Rank,JCR Abbreviation,JIF Percentile,JIF Quartile,JIF Rank,JIF Without Self Cites,Normalized Eigenfactor,Publisher,Total Articles,Total Citations
COORDINATION CHEMISTRY REVIEWS,COORDINATION CHEMISTRY REVIEWS,0010-8545,1873-3840,2024,23.5,"CHEMISTRY, INORGANIC & NUCLEAR","CHEMISTRY, INORGANIC & NUCLEAR_JCR_JournalResults_02_2026.csv",0%,7.87%,1.54,23.5,22.7,Q1,Q1,1/44,3.615,573,3.9,5.1,SCIE,0.057,5.5,94.32,Q1,3/44,COORDIN CHEM REV,98.8,Q1,1/43,22.4,12.753,ELSEVIER SCIENCE SA,0,"73,051"
Light-Science & Applications,LIGHT-SCIENCE AND APPLICATIONS,2095-5545,2047-7538,2024,23.4,OPTICS,OPTICS_JCR_JournalResults_02_2026.csv,92.12%,100%,5.33,23.4,23.1,Q1,Q1,4/125,5.565,241,3.7,5.7,SCIE,0.041,5.1,98.00,Q1,3/125,LIGHT-SCI APPL,97.2,Q1,4/125,22.7,9.098,SPRINGERNATURE,222,"29,813"
Exploration,EXPLORATION,2766-8509,2766-2098,2024,22.5,"MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",50%,99.53%,2.04,22.5,22.8,Q1,Q1,20/455 | 6/147,3.9,56,2,5.3,ESCI,0.006,6,90.82 | 92.55,Q1,14/147 | 35/463,EXPLORATION-PRC,96.3 | 96.6,Q1,16/461 | 6/147,22.2,1.296,WILEY,28,"4,630"
Opto-Electronic Advances,OPTO-ELECTRONIC ADVANCES,2096-4579,2097-3993,2024,22.4,OPTICS,OPTICS_JCR_JournalResults_02_2026.csv,96.15%,100%,4.66,22.4,15.4,Q1,Q1,8/125,2.961,52,2.3,4.8,SCIE,0.005,6.6,97.20,Q1,4/125,OPTO-ELECTRON ADV,96.4,Q1,5/125,21.6,1.073,"CAS, INST OPTICS & ELECTRONICS, ED OFF OPTO-ELECTRONIC JOURNALS",50,"3,642"
InfoMat,INFOMAT,,2567-3165,2024,22.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",75.76%,100%,2.66,22.3,21.1,Q1,Q1,17/455,4.108,99,3,4.4,SCIE,0.012,4.2,96.22,Q1,18/463,INFOMAT,96.4,Q1,17/461,21.9,2.687,WILEY,75,"8,210"
Materials Today,MATERIALS TODAY,1369-7021,1873-4103,2024,22.0,"MATERIALS SCIENCE, MULTIDISCIPLINARY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",93.85%,11.31%,3.64,22,25.3,Q1,Q1,13/455,5.124,179,4.9,5,SCIE,0.029,4,97.73,Q1,11/463,MATER TODAY,96.2,Q1,18/461,21.8,6.466,ELSEVIER SCI LTD,168,"32,433"
Advanced Composites and Hybrid Materials,ADVANCED COMPOSITES AND HYBRID MATERIALS,2522-0128,2522-0136,2024,21.8,"MATERIALS SCIENCE, COMPOSITES | NANOSCIENCE & NANOTECHNOLOGY","MATERIALS SCIENCE, COMPOSITES_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",81.75%,8.11%,3,21.8,16.8,Q1,Q1,1/34 | 16/147,2.41,252,2.1,4.3,SCIE,0.014,4.2,95.71 | 96.94,Q1,2/35 | 5/147,ADV COMPOS HYBRID MA,95.6 | 98.5,Q1,1/34 | 7/147,20.2,3.079,SPRINGERNATURE,206,"13,770"
Advanced Fiber Materials,ADVANCED FIBER MATERIALS,2524-7921,2524-793X,2024,21.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",90.37%,7.28%,3.82,21.3,18.3,Q1,Q1,34/455,2.924,135,2.3,3.9,SCIE,0.007,5.3,98.16,Q1,9/463,ADV FIBER MATER,96.0,Q1,19/461,20.1,1.669,SPRINGERNATURE,122,"6,644"
International Journal of Extreme Manufacturing,INTERNATIONAL JOURNAL OF EXTREME MANUFACTURING,2631-8644,2631-7990,2024,21.3,"ENGINEERING, MANUFACTURING | MATERIALS SCIENCE, MULTIDISCIPLINARY","ENGINEERING, MANUFACTURING_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",48.11%,100%,2.32,21.3,18.5,Q1,Q1,1/67 | 28/455,3.258,106,1.9,5.3,SCIE,0.005,8.4,93.63 | 96.48,Q1,3/71 | 30/463,INT J EXTREME MANUF,96.0 | 99.3,Q1,1/71 | 19/461,18.8,1.198,IOP Publishing Ltd,51,"4,738"
SusMat,SUSMAT,2766-8479,2692-4552,2024,21.3,"CHEMISTRY, MULTIDISCIPLINARY | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY | MATERIALS SCIENCE, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",63.77%,100%,2.61,21.3,21.7,Q1,Q1,13/238 | 19/455 | 3/99,3.998,69,2.2,3.7,SCIE,0.004,4.5,94.81 | 95.79 | 98.54,Q1,13/241 | 2/103 | 20/463,SUSMAT,96.0 | 96.9 | 98.5,Q1,19/461 | 2/103 | 8/239,20.6,0.968,WILEY,44,"3,288"
Applied Catalysis B-Environment and Energy,APPLIED CATALYSIS B-ENVIRONMENT AND ENERGY,0926-3373,1873-3883,2024,21.1,"CHEMISTRY, PHYSICAL | ENGINEERING, CHEMICAL | ENGINEERING, ENVIRONMENTAL","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;ENGINEERING, CHEMICAL_JCR_JournalResults_02_2026.csv;ENGINEERING, ENVIRONMENTAL_JCR_JournalResults_02_2026.csv",99.82%,5.65%,2.88,21.1,20.2,Q1,Q1,1/81 | 15/185 | 4/174,3.148,"1,133",4.5,3.9,SCIE,0.143,3.8,95.95 | 98.58 | 99.40,Q1,1/83 | 3/176 | 8/185,APPL CATAL B-ENVIRON,95.4 | 98.0 | 99.4,Q1,1/83 | 4/176 | 9/185,19.9,32.052,ELSEVIER,"1,131","181,789"
Nature Chemistry,NATURE CHEMISTRY,1755-4330,1755-4349,2024,20.7,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",97.77%,23.18%,3.38,20.7,22.8,Q1,Q1,5/238,7.705,269,7.3,7.7,SCIE,0.047,5.3,98.55,Q1,4/241,NAT CHEM,96.4,Q1,9/239,20.5,10.499,NATURE PORTFOLIO,263,"48,186"
REPORTS ON PROGRESS IN PHYSICS,REPORTS ON PROGRESS IN PHYSICS,0034-4885,1361-6633,2024,20.7,"PHYSICS, MULTIDISCIPLINARY","PHYSICS, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",45.95%,52.23%,1.98,20.7,20.9,Q1,Q1,5/111,6.775,74,10.8,9.2,SCIE,0.011,3.1,93.42,Q1,8/114,REP PROG PHYS,96.9,Q1,4/114,20.6,2.562,IOP Publishing Ltd,34,"23,580"
Environmental Chemistry Letters,ENVIRONMENTAL CHEMISTRY LETTERS,1610-3653,1610-3661,2024,20.4,"CHEMISTRY, MULTIDISCIPLINARY | ENGINEERING, ENVIRONMENTAL","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;ENGINEERING, ENVIRONMENTAL_JCR_JournalResults_02_2026.csv",25.64%,23.74%,1.37,20.4,18.9,Q1,Q1,2/81 | 22/238,2.74,117,4,5,SCIE,0.019,5.1,84.85 | 89.76,Q1,37/241 | 9/83,ENVIRON CHEM LETT,96.0 | 98.2,Q1,10/239 | 2/83,19.5,4.188,SPRINGER HEIDELBERG,30,"21,027"
Bioactive Materials,BIOACTIVE MATERIALS,,2452-199X,2024,20.3,"MATERIALS SCIENCE, BIOMATERIALS","MATERIALS SCIENCE, BIOMATERIALS_JCR_JournalResults_02_2026.csv",84.51%,99.45%,3.99,20.3,20.5,Q1,Q1,2/54,3.253,426,2.5,5.4,SCIE,0.034,6.8,99.09,Q1,1/55,BIOACT MATER,97.3,Q1,2/55,19.5,7.676,KEAI PUBLISHING LTD,360,"31,698"
Energy Storage Materials,ENERGY STORAGE MATERIALS,2405-8297,2405-8289,2024,20.2,"CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",99.25%,6.73%,2.95,20.2,20.2,Q1,Q1,12/185 | 24/455 | 9/147,3.672,803,3.3,3.8,SCIE,0.078,3.9,96.26 | 96.49 | 97.08,Q1,14/463 | 6/147 | 7/185,ENERGY STORAGE MATER,94.9 | 95.3,Q1,10/185 | 22/461 | 8/147,18.8,17.482,ELSEVIER,797,"63,242"
Nature Synthesis,NATURE SYNTHESIS,,2731-0582,2024,20.0,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",93.81%,10.98%,2.78,20,20,Q1,Q1,6/238,6.453,194,1.7,5.8,ESCI,0.011,4.3,96.47,Q1,9/241,NAT SYNTH,95.6,Q1,11/239,19.6,2.463,SPRINGERNATURE,182,"5,147"
Chem,CHEM,2451-9294,2451-9294,2024,19.6,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",83.08%,12.07%,2.6,19.6,23.4,Q1,Q1,8/238,6.019,201,4.4,5.9,SCIE,0.044,6.4,94.40,Q1,14/241,CHEM-US,95.2,Q1,12/239,19.4,9.766,CELL PRESS,167,"29,818"
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,1873-3727,2024,19.3,"CHEMISTRY, PHYSICAL","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv",81.34%,20.6%,1.99,19.3,19.5,Q1,Q1,19/185,2.853,209,5.7,5.7,SCIE,0.017,4.9,91.08,Q1,17/185,ADV COLLOID INTERFAC,94.3,Q1,11/185,18.9,3.736,ELSEVIER,170,"29,641"
IEEE-CAA Journal of Automatica Sinica,IEEE-CAA JOURNAL OF AUTOMATICA SINICA,2329-9266,2329-9274,2024,19.2,AUTOMATION & CONTROL SYSTEMS,AUTOMATION & CONTROL SYSTEMS_JCR_JournalResults_02_2026.csv,98.05%,0.41%,2.93,19.2,13.1,Q1,Q1,5/87,3.358,205,2.9,5,SCIE,0.019,3.7,99.44,Q1,1/89,IEEE-CAA J AUTOMATIC,99.4,Q1,1/89,17.6,4.243,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,201,"11,485"
PhotoniX,PHOTONIX,,2662-1991,2024,19.1,OPTICS,OPTICS_JCR_JournalResults_02_2026.csv,90.48%,100%,4.27,19.1,19.3,Q1,Q1,5/125,4.271,42,2.6,6,SCIE,0.004,3.9,96.40,Q1,5/125,PHOTONIX,95.6,Q1,6/125,18.5,0.823,SPRINGERNATURE,38,"2,273"
ADVANCED FUNCTIONAL MATERIALS,ADVANCED FUNCTIONAL MATERIALS,1616-301X,1616-3028,2024,19.0,"CHEMISTRY, MULTIDISCIPLINARY | CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY | PHYSICS, APPLIED | PHYSICS, CONDENSED MATTER","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv;PHYSICS, CONDENSED MATTER_JCR_JournalResults_02_2026.csv",91.81%,14.91%,2.7,19,19.4,Q1,Q1,10/187 | 11/185 | 16/238 | 23/455 | 6/79 | 8/147,3.695,"4,996",3.7,4.3,SCIE,0.341,4,94.86 | 95.58 | 95.63 | 95.64 | 95.99 | 96.65,Q1,10/185 | 11/241 | 16/463 | 4/80 | 7/147 | 8/187,ADV FUNCT MATER,93.8 | 94.2 | 94.4 | 94.8 | 95.1 | 95.5,Q1,12/185 | 13/239 | 23/461 | 5/80 | 9/147 | 9/187,17.7,76.474,WILEY-V C H VERLAG GMBH,"4,587","320,706"
ACS Energy Letters,ACS ENERGY LETTERS,2380-8195,2380-8195,2024,18.9,"CHEMISTRY, PHYSICAL | ELECTROCHEMISTRY | ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;ELECTROCHEMISTRY_JCR_JournalResults_02_2026.csv;ENERGY & FUELS_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",88.01%,16.8%,2.69,18.9,20.8,Q1,Q1,14/455 | 3/44 | 5/147 | 6/173 | 7/185,4.906,667,3.9,4.4,SCIE,0.089,3.7,94.32 | 94.90 | 96.43 | 96.44 | 96.59,Q1,11/185 | 17/463 | 2/44 | 7/182 | 8/147,ACS ENERGY LETT,93.2 | 93.5 | 94.3 | 94.9 | 95.9,Q1,10/147 | 13/185 | 24/461 | 3/44 | 8/182,18.1,19.962,AMER CHEMICAL SOC,587,"65,876"
Advanced Photonics,ADVANCED PHOTONICS,,2577-5421,2024,18.8,OPTICS,OPTICS_JCR_JournalResults_02_2026.csv,89.58%,100%,3.86,18.8,17,Q1,Q1,6/125,3.926,48,3,5.6,SCIE,0.006,2.7,95.60,Q1,6/125,ADV PHOTONICS,94.8,Q1,7/125,18.5,1.395,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,43,"3,573"
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,INTERNATIONAL JOURNAL OF MACHINE TOOLS AND MANUFACTURE,0890-6955,1879-2170,2024,18.8,"ENGINEERING, MANUFACTURING","ENGINEERING, MANUFACTURING_JCR_JournalResults_02_2026.csv",95.92%,13.73%,3.27,18.8,15.8,Q1,Q1,2/67,3.044,49,11.2,5.6,SCIE,0.008,4.2,99.30,Q1,1/71,INT J MACH TOOL MANU,97.9,Q1,2/71,17.7,1.684,ELSEVIER SCI LTD,47,"17,904"
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1939-3539,2024,18.6,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | ENGINEERING, ELECTRICAL & ELECTRONIC","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE_JCR_JournalResults_02_2026.csv;ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",99.18%,5.88%,4.65,18.6,20.4,Q1,Q1,3/359 | 4/202,5.919,732,5.1,5.3,SCIE,0.115,3.6,98.77 | 99.32,Q1,3/204 | 3/368,IEEE T PATTERN ANAL,98.8 | 99.3,Q1,3/204 | 3/368,18,25.682,IEEE COMPUTER SOC,726,"98,199"
Nature Physics,NATURE PHYSICS,1745-2473,1745-2481,2024,18.4,"PHYSICS, MULTIDISCIPLINARY","PHYSICS, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",96%,25.7%,4.77,18.4,21.2,Q1,Q1,3/111,8.973,350,7.4,7.6,SCIE,0.07,3.9,99.56,Q1,1/114,NAT PHYS,96.1,Q1,5/114,18,15.748,NATURE PORTFOLIO,336,"56,613"
Computational Visual Media,COMPUTATIONAL VISUAL MEDIA,2096-0433,2096-0662,2024,18.3,"COMPUTER SCIENCE, SOFTWARE ENGINEERING","COMPUTER SCIENCE, SOFTWARE ENGINEERING_JCR_JournalResults_02_2026.csv",92.54%,100%,3.71,18.3,12.9,Q1,Q1,3/129,3.418,67,2.7,5.7,SCIE,0.005,1.3,99.61,Q1,1/129,COMPUT VIS MEDIA,99.6,Q1,1/129,17.8,1.136,TSINGHUA UNIV PRESS,62,"2,600"
Nature Computational Science,NATURE COMPUTATIONAL SCIENCE,,2662-8457,2024,18.3,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS | COMPUTER SCIENCE, THEORY & METHODS","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS_JCR_JournalResults_02_2026.csv;COMPUTER SCIENCE, THEORY & METHODS_JCR_JournalResults_02_2026.csv",81.01%,29.15%,3.23,18.3,17.6,Q1,Q1,1/146 | 3/172,6.301,79,2.5,5.1,SCIE,0.011,3.1,98.59 | 98.98,Q1,2/147 | 3/177,NAT COMPUT SCI,99.0 | 99.2,Q1,2/147 | 2/177,17.9,2.405,SPRINGERNATURE,64,"4,046"
Cyborg and Bionic Systems,CYBORG AND BIONIC SYSTEMS,,2692-7632,2024,18.1,ROBOTICS,ROBOTICS_JCR_JournalResults_02_2026.csv,86.15%,100%,2.5,18.1,14.9,Q1,Q1,4/47,2.912,65,1.9,5.2,SCIE,0.002,2.3,96.88,Q1,2/48,CYBORG BIONIC SYST,96.9,Q1,2/48,17.2,0.52,AMER ASSOC ADVANCEMENT SCIENCE,56,"1,650"
Nano Materials Science,NANO MATERIALS SCIENCE,2096-6482,2589-9651,2024,17.9,"MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",96.83%,100%,2.58,17.9,15.8,Q1,Q1,15/147 | 41/455,2.417,63,2.5,5.8,ESCI,0.003,8.3,93.54 | 94.92,Q1,10/147 | 24/463,NANO MATER SCI,92.9 | 94.7,Q1,11/147 | 25/461,17.2,0.696,KEAI PUBLISHING LTD,61,"3,112"
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,0146-6410,1873-2224,2024,17.9,"PHYSICS, NUCLEAR | PHYSICS, PARTICLES & FIELDS","PHYSICS, NUCLEAR_JCR_JournalResults_02_2026.csv;PHYSICS, PARTICLES & FIELDS_JCR_JournalResults_02_2026.csv",5%,16.67%,1.74,17.9,14.1,Q1,Q1,2/22 | 3/31,4.346,20,7.4,11.7,SCIE,0.006,9.3,95.16 | 97.73,Q1,1/22 | 2/31,PROG PART NUCL PHYS,95.2 | 97.7,Q1,1/22 | 2/31,17.7,1.36,ELSEVIER,1,"6,418"
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,1520-4898,2024,17.7,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",0%,19.73%,1.21,17.7,19.9,Q1,Q1,9/238,4.894,275,7.9,6.3,SCIE,0.061,4.1,82.37,Q1,43/241,ACCOUNTS CHEM RES,94.4,Q1,14/239,17.6,13.579,AMER CHEMICAL SOC,0,"87,302"
Chinese Journal of Catalysis,CHINESE JOURNAL OF CATALYSIS,0253-9837,1872-2067,2024,17.7,"CHEMISTRY, APPLIED | CHEMISTRY, PHYSICAL | ENGINEERING, CHEMICAL","CHEMISTRY, APPLIED_JCR_JournalResults_02_2026.csv;CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;ENGINEERING, CHEMICAL_JCR_JournalResults_02_2026.csv",83.62%,0.57%,2.39,17.7,13.6,Q1,Q1,2/76 | 28/185 | 7/174,2.177,232,3.5,3.9,SCIE,0.018,2.9,92.70 | 97.44 | 98.05,Q1,14/185 | 2/77 | 5/176,CHINESE J CATAL,92.7 | 97.4 | 99.3,Q1,1/76 | 14/185 | 5/176,16.8,3.985,ELSEVIER,194,"20,613"
Matter,MATTER,2590-2393,2590-2385,2024,17.5,"MATERIALS SCIENCE, MULTIDISCIPLINARY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",76.96%,5.72%,2.36,17.5,19.2,Q1,Q1,15/455,4.5,217,3.2,5.2,SCIE,0.032,4,94.06,Q1,28/463,MATTER-US,94.5,Q1,26/461,17.2,7.158,CELL PRESS,167,"18,183"
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0733-8716,1558-0008,2024,17.2,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",100%,4.73%,3.81,17.2,17.4,Q1,Q1,4/359,5.394,242,4.3,4.5,SCIE,0.048,3.2,99.05,Q1,4/368,IEEE J SEL AREA COMM,99.0,Q1,4/368,16.8,10.743,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,242,"30,768"
Nano Energy,NANO ENERGY,2211-2855,2211-3282,2024,17.1,"CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY | PHYSICS, APPLIED","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",87.57%,6.39%,2.66,17.1,16.9,Q1,Q1,12/147 | 13/187 | 17/185 | 32/455,2.982,"1,231",4,4,SCIE,0.128,3.8,93.78 | 94.22 | 95.45 | 96.22,Q1,12/185 | 18/463 | 9/147 | 9/187,NANO ENERGY,92.2 | 94.3 | 94.9,Q1,10/187 | 12/147 | 15/185 | 27/461,15.9,28.561,ELSEVIER,"1,078","129,552"
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,,1521-3773,2024,17.0,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",96.31%,23.17%,2.74,17,16.4,Q1,Q1,18/238,3.524,"4,739",5.1,5.1,SCIE,0.477,3.8,96.06,Q1,10/241,ANGEW CHEM INT EDIT,93.9,Q1,15/239,15.5,106.874,WILEY-V C H VERLAG GMBH,"4,564","529,352"
eTransportation,ETRANSPORTATION,2590-1168,2590-1168,2024,17.0,"ENERGY & FUELS | ENGINEERING, ELECTRICAL & ELECTRONIC","ENERGY & FUELS_JCR_JournalResults_02_2026.csv;ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",94.74%,14.56%,2.73,17,17.4,Q1,Q1,12/359 | 9/173,3.186,76,2.8,4.4,SCIE,0.006,3.6,96.98 | 98.51,Q1,6/182 | 6/368,ETRANSPORTATION,95.3 | 98.8,Q1,5/368 | 9/182,15.8,1.346,ELSEVIER,72,"4,432"
Journal of Advanced Ceramics,JOURNAL OF ADVANCED CERAMICS,2226-4108,2227-8508,2024,16.6,"MATERIALS SCIENCE, CERAMICS","MATERIALS SCIENCE, CERAMICS_JCR_JournalResults_02_2026.csv",96.55%,99.79%,3.54,16.6,15.6,Q1,Q1,1/32,2.532,174,2.8,5.3,SCIE,0.011,2.7,98.53,Q1,1/34,J ADV CERAM,98.5,Q1,1/34,15.1,2.385,TSINGHUA UNIV PRESS,168,"9,879"
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEWABLE AND SUSTAINABLE ENERGY REVIEWS,1364-0321,1879-0690,2024,16.3,ENERGY & FUELS | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ENERGY & FUELS_JCR_JournalResults_02_2026.csv;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY_JCR_JournalResults_02_2026.csv,76.45%,26.7%,2.04,16.3,17.5,Q1,Q1,11/173 | 4/99,3.1,845,6.5,5.5,SCIE,0.113,2.4,93.68 | 94.66,Q1,12/182 | 6/103,RENEW SUST ENERG REV,94.8 | 97.6,Q1,10/182 | 3/103,15.7,25.375,PERGAMON-ELSEVIER SCIENCE LTD,646,"184,911"
ACS Nano,ACS NANO,1936-0851,1936-086X,2024,16.1,"CHEMISTRY, MULTIDISCIPLINARY | CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",91.74%,13.37%,2.33,16.1,16.5,Q1,Q1,10/147 | 13/185 | 19/238 | 27/455,3.319,"2,639",5,5.2,SCIE,0.223,3.2,92.16 | 92.18 | 93.57 | 93.84,Q1,12/147 | 15/185 | 16/241 | 29/463,ACS NANO,91.5 | 91.6 | 93.5 | 94.0,Q1,13/147 | 16/185 | 16/239 | 28/461,15.4,49.926,AMER CHEMICAL SOC,"2,421","255,538"
Energy Material Advances,ENERGY MATERIAL ADVANCES,2097-1133,2692-7640,2024,15.9,"PHYSICS, APPLIED","PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",75.56%,100%,2.19,15.9,15.2,Q1,Q1,15/187,2.74,45,2.1,4.9,ESCI,0.002,2.2,94.39,Q1,11/187,ENERGY MATER ADV,94.4,Q1,11/187,15.1,0.484,AMER ASSOC ADVANCEMENT SCIENCE,34,"1,616"
Journal of the American Chemical Society,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,0002-7863,1520-5126,2024,15.7,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",98.78%,19.72%,2.64,15.7,15.6,Q1,Q1,15/238,3.808,"3,612",8.9,6.9,SCIE,0.387,3.7,95.23,Q1,12/241,J AM CHEM SOC,93.1,Q1,17/239,14.6,86.689,AMER CHEMICAL SOC,"3,568","601,485"
Physical Review X,PHYSICAL REVIEW X,2160-3308,2160-3308,2024,15.7,"PHYSICS, MULTIDISCIPLINARY","PHYSICS, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",98.31%,99.07%,3.7,15.7,15.4,Q1,Q1,6/111,6.2,237,5.5,8.8,SCIE,0.058,3.3,97.81,Q1,3/114,PHYS REV X,95.2,Q1,6/114,15.3,12.93,AMER PHYSICAL SOC,233,"34,313"
