title,year,journal,impact_factor,molecule_name,molecule_cid,molecule_smiles,molecule_type,functional_groups,role,interface_location,pce_max,voc,jsc,ff,perovskite_type,stability
Concurrent cationic and anionic perovskite defect passivation enables 27.4% perovskite/silicon tandems with suppression of halide segregation,,JOULE,35.4,phenformin hydrochloride (PhenHCl),13266,,,,defect passivation and suppression of light-induced phase segregation,"perovskite surface, grain boundaries and interfaces",27.4,,,,wide-band-gap (similar to 1.68 eV) perovskite,"V-OC loss: 0 None (more than 3,000 h of thermal stress at 85 degrees C in a nitrogen ambient)"
Conjugated linker-boosted self-assembled monolayer molecule for inverted solar cells,,JOULE,35.4,Me4PACz,,,self-assembled monolayer (SAM),,commercial self-assembled monolayer,,26.17,,,86.79,inverted,stability: None None (None)
Conjugated linker-boosted self-assembled monolayer molecule for inverted solar cells,,JOULE,35.4,Me-PhpPACz,,,self-assembled monolayer (SAM),conjugated phenylene,for inverted perovskite solar cells (PSCs),electrode,26.17,,,86.79,inverted,stability: None None (None)
"D-A-π-A-D-type Dopant-free Hole Transport Material for Low-Cost, Efficient, and Stable Perovskite Solar Cells",,JOULE,35.4,DTB-FL,,,D-A-pi-A-D molecular design,,HTM,hole extraction interface,21.5,1.3,,,all-inorganic PSCs,operational stability: None None (None)
De-doping engineering for efficient and heat-stable perovskite solar cells,,JOULE,35.4,4-tert-butylpyridine (tBP),19878,,,,causes de-doping of the p-type HTL and release of tBP vapor under heat stress,hole-transporting layer (HTL),26.18,,,,n-i-p,heat exposure stability: None None (heat exposure at 85 degrees C)
De-doping engineering for efficient and heat-stable perovskite solar cells,,JOULE,35.4,lithium bis(trifluoromethanesulfonyl)imide,,,,,forms a 1:1 complex with tBP (Li+-tBP complex),,26.18,,,,n-i-p,heat exposure stability: None None (heat exposure at 85 degrees C)
De-doping engineering for efficient and heat-stable perovskite solar cells,,JOULE,35.4,1:1 Li+-tBP complex,,,,,preventing free tBP molecules in the hole-transporting layer (HTL) and suppressing the de-doping of the p-type HTL by tBP and the release of tBP vapor under heat stress,,26.18,,,,n-i-p,heat exposure stability: None None (heat exposure at 85 degrees C)
Decoupling the effects of defects on efficiency and stability through phosphonates in stable halide perovskite solar cells,,JOULE,35.4,3-phosphonopropionic acid (H3pp),1682,,organic molecule,,shallow point defect passivation,between the perovskite and the H3pp molecule,21,,,,halide perovskite,"efficiency retention: 100 % (after 1,000 h at the maximum power point under simulated AM1.5G illumination)"
Highly Efficient and Stable Perovskite Solar Cells Enabled by All-Crosslinked Charge-Transporting Layers,,JOULE,35.4,c-HATNA,,,n-type conjugated molecule,,electron-transporting layer (ETL),on top of the desired perovskites,18.21,,,,,moisture stability: None None (without encapsulation); thermal stability: 70 % (heated at 70 degrees C for 300 hr)
Highly Efficient and Stable Perovskite Solar Cells Enabled by All-Crosslinked Charge-Transporting Layers,,JOULE,35.4,c-TCTA-BVP,,,crosslinkable hole-transporting layer,,hole-transporting layer,,18.21,,,,,moisture stability: None None (without encapsulation); thermal stability: 70 % (heated at 70 degrees C for 300 hr)
Homogenizing strain via reinforced lattice interaction enables efficient and stable 4T perovskite/silicon tandem solar cells,,JOULE,35.4,benzamidinium chloride (BMCl),80289,,,deprotonation-resistant amidinium group,"occupies the A-site vacancy and interacts strongly with the [PbI6]4-octahedra to stabilize the crystal lattice; facilitates uniform compressive strain formation, increasing the ion migration barrier and defect formation energy",A-site vacancy,33.4,,,,wide-band-gap (WBG) perovskite (optimized WBG single-junction perovskite with a 1.67 eV band gap),PCE decay: no PCE decay after 48 days days (operation under outdoor conditions)
Molecule-triggered strain regulation and interfacial passivation for efficient inverted perovskite solar cells,,JOULE,35.4,6-bromocoumarin-3-carboxylic acid ethyl ester (BAEE),691747,,,6-bromo; coumarin; carboxylic acid ethyl ester,"molecule-triggered strain regulation and interfacial passivation; consumes incident UV light to suppress tensile strain evolution; forms a strong bond with NiOx, assisting perovskite growth and interface defect passivation",with NiOx,26.32,1.201,,,,T-90 under continuous 365 nm UV illumination in N-2: 110 h (continuous 365 nm UV illumination in N-2); T-90 under continuous 365 nm UV illumination in ambient air: 6 h (continuous 365 nm UV illumination in ambient air); T-90 under continuous LED white light irradiation at 100 mWcm(-2): 1000 h (continuous LED white light irradiation at 100 mWcm(-2))
Rigid molecules anchoring on NiOx enable >26% efficiency perovskite solar cells,,JOULE,35.4,((9Hfluoren-9-ylidene)methyl) cyanophosphonic acid (FY-CPA),,,multi-dentate anchoring (MDA) molecule,cyanophosphonic acid,to enhance the anchorage with bottom NiOx by forming tetradentate binding and parallel orientation,NiOx/perovskite interface,26.21,,,,inverted,thermal and operational stability: None None (during long-term storage)
Solubilizing and stabilizing C60 with n-type polymer enables efficient inverted perovskite solar cells,,JOULE,35.4,Pristine fullerene C-60,,,fullerene,,electron transport layer (ETL) for perovskite solar cells (PSCs),,25.6,,,,perovskite solar cells (PSCs),T95: >1800 h (light); T80: 700 h (heat)
TEMPO bulk passivation boosts the performance and operational stability of rapid-annealed FAPI perovskite solar cells,,JOULE,35.4,"2,2,6,6-tetramethylpiperidinyloxyl (TEMPO)",,,,,additive,bulk passivation; grain boundaries and surface defects,,,,,formamidinium lead iodide (FAPI),"PCE retention: None % (ISOS protocols; after 4,296 h of operational and thermal stress)"
Tunable molecular dipole moments and orientations for efficient and stable perovskite solar cells,,JOULE,35.4,(4-(trifluoromethyl)phenyl)methanaminium iodide (PMA-CF3),,,,trifluoromethyl; phenyl; methanaminium; iodide,surface modifier,at the interface,26.04,,,,,storage stability: None None (None); light soaking stability: None None (None)
Tunable molecular dipole moments and orientations for efficient and stable perovskite solar cells,,JOULE,35.4,C60,123591,,,,,at the interface,26.04,,,,,storage stability: None None (None); light soaking stability: None None (None)
Conductive passivating contact for high fill factor monolithic perovskite/silicon tandem solar cells,,INTERDISCIPLINARY MATERIALS,31.6,bis(2-hydroxyethyl)dimethylammonium chloride (BDAC),162303,,zwitterion molecule,,conductive passivation contact layer,perovskite surface,28.67,0.08,,82.84,,
Efficient Inverted Perovskite Solar Cells Enabled by Sequential Passivation Using Two-Dimensional Perovskites,,INTERDISCIPLINARY MATERIALS,31.6,phenethylamine iodide (PEAI),,,,phenethylamine; iodide,passivate 3D perovskite surface,on the 3D perovskite surface,26.27,,,,three-dimensional (3D) perovskites,T80 lifetime: 1000 h (under continuous light illumination at the maximum power point tracking)
Efficient Inverted Perovskite Solar Cells Enabled by Sequential Passivation Using Two-Dimensional Perovskites,,INTERDISCIPLINARY MATERIALS,31.6,4-trifluoromethylphenylethylamine iodide (CF3PEAI),,,,4-trifluoromethylphenylethylamine; iodide; trifluoromethyl,used in sequential passivation process,,26.27,,,,three-dimensional (3D) perovskites,T80 lifetime: 1000 h (under continuous light illumination at the maximum power point tracking)
Fullerene modification of WO3 electron transport layer toward high-efficiency MA-free perovskite solar cells with eliminated light-soaking effect,,INTERDISCIPLINARY MATERIALS,31.6,C-60 pyrrolidine Tris-acid (CPTA),,,fullerene derivative,pyrrolidine; Tris-acid,"modify the interface between WO3 and perovskite (PVK) layers, which can bond with WO3 and PVK simultaneously, leading to the passivation of the defect and the suppression of trap-assisted nonradiative recombination",interface between WO3 and perovskite (PVK) layers,20.5,,,,methylamine (MA)-free,light-soaking effect: None None (None); stability (enhanced): None None (None)
Fullerene modification of WO3 electron transport layer toward high-efficiency MA-free perovskite solar cells with eliminated light-soaking effect,,INTERDISCIPLINARY MATERIALS,31.6,methylamine (MA),6329,,,,,,20.5,,,,methylamine (MA)-free,light-soaking effect: None None (None); stability (enhanced): None None (None)
"In situ polymerization of water-induced 1,3-phenylene diisocyanate for enhanced efficiency and stability of inverted perovskite solar cells",,INTERDISCIPLINARY MATERIALS,31.6,"1,3-phenylene diisocyanate (1,3-PDI)",,,small molecule,diisocyanate,incorporated into the perovskite film using an antisolvent technique,perovskite film,24.66,,,,organometallic hybridized perovskite,PCE retention after storage: 90.15 % (5000 h of storage under ambient conditions of 25 degrees C and 50 +/- 5% relative humidity); PCE retention after maximum power point tracking: 82.05 % (maximum power point tracking for 1000 h)
"In situ polymerization of water-induced 1,3-phenylene diisocyanate for enhanced efficiency and stability of inverted perovskite solar cells",,INTERDISCIPLINARY MATERIALS,31.6,"P(1,3-PDI)",,,polymer,diisocyanate,in situ passivation of uncoordinated lead defects,perovskite film,24.66,,,,organometallic hybridized perovskite,PCE retention after storage: 90.15 % (5000 h of storage under ambient conditions of 25 degrees C and 50 +/- 5% relative humidity); PCE retention after maximum power point tracking: 82.05 % (maximum power point tracking for 1000 h)
A Soldering Flux Tackles Complex Defects Chemistry in Sn-Pb Perovskite Solar Cells,,ADVANCED MATERIALS,30.2,abietic acid (AA),10569,,a commonly used flux for metal soldering,conjugated double bond; C & boxH;O group; C & boxH;C bond,effectively tackles complex defects chemistry in Sn-Pb perovskites; self-elimination of Sn4+-Pb0 defects pair via a redox process; coordinates with Sn2+ leading to improved antioxidative stability,,23.42,,,,tin-lead (Sn-Pb) narrow-bandgap perovskites,carrier lifetime: 10 times (None); stability: None None (operational and illumination situations)
A Universal Ternary Solvent System of Surface Passivator Enables Perovskite Solar Cells with Efficiency Exceeding 26%,,ADVANCED MATERIALS,30.2,Tetrahydrothiophene 1-oxide (THTO),1128,,aprotic polar solvent molecule,,passivation promoter,perovskite surface,26.05,,,,,PCE retention: 95.23 % (2000 h of storage in ambient air); PCE retention: 95.68 % (800 h of light-soaking in N2-glovebox)
A Universal Ternary Solvent System of Surface Passivator Enables Perovskite Solar Cells with Efficiency Exceeding 26%,,ADVANCED MATERIALS,30.2,chlorobenzene (CB),7964,,diluting agent,,diluting agent,,26.05,,,,,PCE retention: 95.23 % (2000 h of storage in ambient air); PCE retention: 95.68 % (800 h of light-soaking in N2-glovebox)
A Universal Ternary Solvent System of Surface Passivator Enables Perovskite Solar Cells with Efficiency Exceeding 26%,,ADVANCED MATERIALS,30.2,isopropanol (IPA),3776,,solvent,,minimized to inhibit additional solvent-induced defects,,26.05,,,,,PCE retention: 95.23 % (2000 h of storage in ambient air); PCE retention: 95.68 % (800 h of light-soaking in N2-glovebox)
A Universal Ternary Solvent System of Surface Passivator Enables Perovskite Solar Cells with Efficiency Exceeding 26%,,ADVANCED MATERIALS,30.2,PEAI,,,passivator,,passivator,,26.05,,,,,PCE retention: 95.23 % (2000 h of storage in ambient air); PCE retention: 95.68 % (800 h of light-soaking in N2-glovebox)
A Universal Ternary Solvent System of Surface Passivator Enables Perovskite Solar Cells with Efficiency Exceeding 26%,,ADVANCED MATERIALS,30.2,BAI,,,passivator,,passivator,,26.05,,,,,PCE retention: 95.23 % (2000 h of storage in ambient air); PCE retention: 95.68 % (800 h of light-soaking in N2-glovebox)
A-D-A Molecule-Bridge Interface for Efficient Perovskite Solar Cells and Modules,,ADVANCED MATERIALS,30.2,fullerene,,,,,electron transport layers,perovskite/fullerene interface,24.62,,,,inverted PSCs,stability: None None (None)
A-D-A Molecule-Bridge Interface for Efficient Perovskite Solar Cells and Modules,,ADVANCED MATERIALS,30.2,C60,123591,,,,,perovskite/C60 interface,24.62,,,,inverted PSCs,stability: None None (None)
B-Site Co-Doping Coupled with Additive Passivation Pushes the Efficiency of Pb-Sn Mixed Inorganic Perovskite Solar Cells to Over 17%,,ADVANCED MATERIALS,30.2,Benzhydroxamic Acid (BHA),10313,,multifunctional additive,reductive hydroxamic acid group (OC-NHOH),mitigates the oxidation of Sn2+; interacts with metal ions at the B-site and passivates related defects; introduces a near-vertical dipole moment that parallels the built-in electric field; provides an in situ encapsulation of the perovskite grain boundary,perovskite grain boundary; interacts with metal ions at the B-site,17.12,,,,Pb-Sn mixed inorganic perovskite,air stability: None None (None)
